,stride,energy,E(kJ/mole),C-Cl1,C-Cl2
27,-2.39952,-955.7039255,-18.25117480199458,2.0124237,2.7874684
28,-2.29963,-955.7036672,-17.573008152184514,2.0244341,2.7702022
29,-2.1997,-955.7033813,-16.82237770219922,2.0374842,2.7528889
30,-2.09976,-955.7030686,-16.001383852212484,2.0513358,2.7356247
31,-1.99979,-955.7027312,-15.115540152120843,2.0657989,2.7184582
32,-1.89982,-955.7023723,-14.173248202022478,2.080738,2.70141
33,-1.79983,-955.7019954,-13.18369725204343,2.0960392,2.6844766
34,-1.69985,-955.7016046,-12.157651852066977,2.1116383,2.6676557
35,-1.59986,-955.7012044,-11.10692675221253,2.1274673,2.650933
36,-1.49986,-955.7007994,-10.04359925221081,2.1434867,2.6342979
37,-1.39987,-955.7003945,-8.980534302118883,2.1596592,2.6177382
38,-1.29987,-955.6999943,-7.929809201965952,2.1759594,2.6012451
39,-1.19988,-955.6996039,-6.904814002225635,2.1923646,2.584811
40,-1.09988,-955.6992278,-5.91736345212189,2.2088596,2.5684307
41,-0.99988,-955.6988705,-4.979272302072616,2.225429,2.5520994
42,-0.89989,-955.6985364,-4.102092751988948,2.2420664,2.5358161
43,-0.79989,-955.6982293,-3.2958017020247894,2.2587643,2.519582
44,-0.69989,-955.6979526,-2.5693258520979043,2.2755161,2.503398
45,-0.5999,-955.697707,-1.9245030521738045,2.2922991,2.4872385
46,-0.4999,-955.6974926,-1.3615958521622815,2.3090792,2.4710676
47,-0.39991,-955.6973114,-0.885855252050078,2.3258375,2.454859
48,-0.29992,-955.6971664,-0.5051577521157924,2.3425586,2.438607
49,-0.19994,-955.6970603,-0.22659220201319386,2.359239,2.4223029
50,-0.09999,-955.6969957,-0.05698490208322937,2.3758561,2.4059452
51,0.0,-955.6969739956,0.0,2.3924399,2.3895381
52,0.09998,-955.6969958,-0.05724745199302106,2.4090118,2.3731225
53,0.19993,-955.6970608,-0.22790495215912188,2.4255486,2.3566875
54,0.29991,-955.6971678,-0.5088334520468152,2.4420361,2.3401884
55,0.3999,-955.6973144,-0.8937317520301917,2.4584745,2.3236493
56,0.49989,-955.6974983,-1.3765612020946492,2.4748724,2.3070729
57,0.59989,-955.6977168,-1.9502329519894488,2.4912348,2.2904757
58,0.69989,-955.6979683,-2.6105462019639845,2.5075874,2.2738771
59,0.79988,-955.698253,-3.3580260521363243,2.5239588,2.2573114
60,0.89988,-955.6985697,-4.189521902096544,2.5403675,2.2407967
61,0.99988,-955.6989148,-5.095581952107295,2.5568123,2.2243387
62,1.09987,-955.6992845,-6.066229302014676,2.5732941,2.2079447
63,1.19987,-955.6996743,-7.089649201997759,2.5898149,2.1916196
64,1.29987,-955.7000798,-8.154289452145406,2.606379,2.1753759
65,1.39987,-955.700496,-9.247022552192277,2.622991,2.1592238
66,1.49986,-955.7009178,-10.35445845196324,2.6396577,2.1431781
67,1.59986,-955.7013396,-11.461894352032687,2.6563862,2.1272539
68,1.69985,-955.7017561,-12.555415102107418,2.6731859,2.1114729
69,1.79985,-955.7021613,-13.61926770192872,2.6900667,2.0958642
70,1.89984,-955.7025494,-14.63822425195292,2.7070404,2.0804685
71,1.99982,-955.7029147,-15.597319401949164,2.7241142,2.0653354
72,2.0998,-955.7032519,-16.482638002221222,2.7412989,2.0505616
73,2.19976,-955.7035566,-17.282627851962502,2.7585886,2.0362912
74,2.29968,-955.7038266,-17.99151285196365,2.7759443,2.0227678
75,2.39954,-955.704063,-18.612181052127823,2.7932589,2.0103567
76,2.49934,-955.7042692,-19.15355915207431,2.8103381,1.9994763
77,2.5991,-955.7044507,-19.63008740221437,2.8268964,1.9904676
78,2.69888,-955.7046126,-20.055155852126177,2.842659,1.9835328
79,2.79873,-955.7047588,-20.439003952171902,2.8575004,1.978555
80,2.89863,-955.7048917,-20.787932901977456,2.871471,1.9751399
81,2.99857,-955.7050121,-21.104043102015112,2.8847271,1.9728963
82,3.09853,-955.7051203,-21.388122202014245,2.897413,1.9715155
83,3.19849,-955.7052165,-21.640695302092922,2.9098017,1.9705829
84,3.29846,-955.7053014,-21.863600252216656,2.9219827,1.9699285
85,3.39843,-955.7053766,-22.061037852136053,2.9341273,1.9693149
86,3.49841,-955.7054445,-22.23930930207399,2.9463294,1.9685983
87,3.59839,-955.7055056,-22.3997273521764,2.9585751,1.9678197
88,3.69835,-955.7055603,-22.543342202082442,2.9708132,1.9670479
89,3.79822,-955.7056087,-22.6704164020004,2.9830613,1.9662393
90,3.89812,-955.7056514,-22.782525251985987,2.9952917,1.9654689
91,3.99802,-955.7056884,-22.87966875203921,3.0074994,1.9647139
92,4.09782,-955.7057201,-22.962897102097713,3.019717,1.9639518
93,4.19761,-955.7057468,-23.032997952189362,3.0318778,1.9632401
94,4.2974,-955.7057687,-23.090496402133738,3.0440918,1.9624696
95,4.39723,-955.7057863,-23.13670520207677,3.0562658,1.9617491
96,4.49706,-955.7057998,-23.172149452136523,3.0684755,1.9609824
97,4.59598,-955.7058095,-23.197616802042376,3.0805515,1.9602338
98,4.69227,-955.7058159,-23.214420001940255,3.0922449,1.959563
99,4.78819,-955.7058194,-23.223609252066296,3.1038753,1.9587247
100,4.87464,-955.7058205,-23.22649730196946,3.1129381,1.9582253
